"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Nonlinear refractive index measurement by temporal phase reconstruction","P. Kabaciński; M. Wierzbicki; T. M. Kardaś; C. Radzewicz","Faculty of Physics, Warsaw University of Technology, Koszykowa 75, 00-622 Warsaw, Poland; Faculty of Physics, Warsaw University of Technology, Koszykowa 75, 00-622 Warsaw, Poland; Institute of Physical Chemistry Polish Academy of Sciences, Kasprzaka 44/52, 01-224 Warsaw, Poland; Institute of Experimental Physics, Faculty of Physics, University of Warsaw, Pasteura 5, 02-093 Warsaw, Poland","2017 Conference on Lasers and Electro-Optics Europe & European Quantum Electronics Conference (CLEO/Europe-EQEC)","","2017","","","1","1","Knowing the value of nonlinear index of refraction is crucial for understanding how phase modulation affects intense ultra-short pulses propagating through a given material. Measurement of Kerr constant forces building of stand-alone and often complicated setups. Most popular one - Z-scan - requires excellent beam quality, perfect beam alignment and entails separate two-photon absorption measurements [1]. On the other hand, frequency-resolved optical gating (FROG) setups are nowadays a common equipment of ultra-fast laboratories where the complete ultra-short pulse characterization is an ever-growing need.","","978-1-5090-6736-7","10.1109/CLEOE-EQEC.2017.8086770","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8086770","","Optical filters;Nonlinear optics;Optical pulses;Optical pulse generation;Optical attenuators;Optical reflection","high-speed optical techniques;light propagation;optical Kerr effect;optical modulation;phase modulation;photoexcitation;refractive index;refractive index measurement;two-photon processes","two-photon absorption measurements;nonlinear refractive index measurement;temporal phase reconstruction;phase modulation;frequency-resolved optical gating;ultrashort pulse propagation;Kerr constant;beam quality;beam alignment;Z-scan;ultrafast laboratories","","","2","","","","","IEEE","IEEE Conferences"
"Quantitative Assessment of the Effect of the Out-of-Plane Movement of the Homogenous Ellipsoidal Model of the Left Ventricle on the Deformation Measures Estimated Using 2-D Speckle Tracking—An In-Silico Study","J. Żmigrodzki; S. Cygan; A. Wilczewska; K. Kałużyński","Institute for Metrology and Biomedical Engineering, Warsaw University of Technology, Warsaw, Poland; Institute for Metrology and Biomedical Engineering, Warsaw University of Technology, Warsaw, Poland; Institute for Metrology and Biomedical Engineering, Warsaw University of Technology, Warsaw, Poland; Institute for Metrology and Biomedical Engineering, Warsaw University of Technology, Warsaw, Poland","IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control","","2018","65","10","1789","1803","Effect of the out-of-plane (OOP) movement amplitude on estimates of global displacements (radial, circumferential) and strains (radial εR, circumferential εC) was studied in an ellipsoidal model of the left ventricle using finite-element modeling (FEM), synthetic ultrasonic data, and short-axis view. This effect was assessed using median of the absolute relative error (RE) of the global parameters. FEM provided node displacements for synthetic ultrasonic data and reference data generation. Displacements were estimated using blockmatching (BM) and B-spline (BS) methods. FEM-derived data analysis, free from errors resulting from speckle tracking, indicated that the tissue motion introduced REs of global strain estimates below 4.5%. The effect of the OOP motion amplitude on strain estimates was strain specific and depended on the displacement estimation method. In the case of εC, the increase of the OOP amplitude resulted in quasi-linear increase of the RE from approximately 10% to 15%. The modulus of the endsystolic (ES) errors of the εC estimates almost linearly increased with increasing OOP amplitude approximately from 10% to 16%. REs of the εR estimate were close to 80% and 40%, respectively, in the case of the BM and BS methods, and increased with increasing OOP amplitude. The modulus of the ES errors of the εR estimates in the case of the BS method was about -40% and showed low sensitivity to the OOP amplitude; in the BM case, these errors varied approximately from -70% to -58% for OOP amplitude from 0 to 15 mm.","1525-8955","","10.1109/TUFFC.2018.2856127","Narodowe Centrum Nauki; Institute for Metrology and Biomedical Engineering, Warsaw University of Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8410931","Circumferential strain;elastic image registration;ellipsoidal left ventricular model;finite-element analysis;out-of-plane (OOP) movement;radial strain;short-axis (SAX) view;strain estimation;synthetic ultrasonic data","Strain;Two dimensional displays;Heart;Three-dimensional displays;Finite element analysis;Acoustics;Estimation","biological tissues;biomechanics;biomedical ultrasonics;cardiology;deformation;finite element analysis;medical image processing;speckle;splines (mathematics)","quantitative assessment;out-of-plane movement;homogenous ellipsoidal model;deformation measures;movement amplitude;εR estimate;BM case;BS method;ES errors;increasing OOP amplitude;endsystolic errors;quasilinear increase;displacement estimation method;strain specific;OOP motion amplitude;global strain estimates;tissue motion;speckle tracking;FEM-derived data analysis;blockmatching;reference data generation;node displacements;global parameters;absolute relative error;short-axis view;synthetic ultrasonic data;finite-element modeling;left ventricle;strains;radial, circumferential;size 0.0 mm to 15.0 mm;B","","","77","","","","","IEEE","IEEE Journals"
"Efficiency Optimization of Two Dual Active Bridge Converters Operating in Parallel","M. Rolak; C. Sobol; M. Malinowski; S. Stynski","Department of Electrical Engineering, Warsaw University of Technology, Warsaw, Poland; Department of Electrical Engineering, Warsaw University of Technology, Warsaw, Poland; Department of Electrical Engineering, Warsaw University of Technology, Warsaw, Poland; Department of Electrical Engineering, Warsaw University of Technology, Warsaw, Poland","IEEE Transactions on Power Electronics","","2020","35","6","6523","6532","Growing interest in dc-type energy storage systems (ESS) and dc/dc converters has led to increased power ratings of such devices, which often requires parallel connection. The process of energy efficiency optimization of such modular systems is described in literature mainly in terms of the varying power demand, but the problem is more complex and not analyzed yet in relation to varying energy storage (ES) voltage level and bidirectional energy transfer at the same time. Therefore, this article considers the input parallel output parallel (IPOP) connection of two dual active bridge (DAB) modules as a representative modular converter, and to answer a question of: how to improve (maximize) efficiency of such a system, at different power demands and varying ESS voltage, only by a turn on/off operation of the module without any circuit and control algorithm changes. The proposed solution defines an operating area (enclosing different ES's voltage levels and loading power conditions) showing where one or two modules should operate to improve the overall efficiency. A curve fitting approach and polynomial approximation of the single module's input/output power curves are utilized for the proposed algorithm based on parametric functions. After simulation study, the method is validated with two 1.4 kW SiC-based DAB converters, operating at 100 kHz of switching frequency within a wide (0-270 V) ES's voltage range.","1941-0107","","10.1109/TPEL.2019.2951833","Foundation for Polish Science co-financed; European Commission; European Regional Development Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8892643","Dual active bridge (DAB);energy storage;parallel operation IPOP;optimization","Topology;Energy storage;Optimization;Bridge circuits;Power demand;Energy exchange;Power generation","bridge circuits;curve fitting;DC-DC power convertors;energy consumption;energy storage;optimisation;polynomial approximation;silicon compounds;switching convertors;voltage-source convertors","switching frequency;polynomial approximation;curve fitting approach;ESS voltage;SiC-based DAB converters;IPOP;energy storage voltage levels;dc-dc converters;dc-type energy storage systems;modular converter;input parallel output parallel connection;bidirectional energy transfer;energy efficiency optimization;dual active bridge converters;voltage 0.0 V to 270.0 V;frequency 100.0 kHz;SiC","","","36","IEEE","","","","IEEE","IEEE Journals"
"Prototype variable resistors and capacitors for RF and microwave phase lock loops","S. Hanasz; B. Gąsowski; K. Czuba; H. Schlarb","Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Deutsches Elektronen Synchrotron, Hamburg, Germany","2018 22nd International Microwave and Radar Conference (MIKON)","","2018","","","280","281","This paper describes the prototype project of low-noise digitally controlled variable resistor and capacitor modules, which can be used to change the transmittance of the PLL filter without resoldering its components. Devices were designed and built as a tool for rapid evaluation and optimisation of ultra low noise PLL circuits, such as those used in particle accelerators.","","978-83-949421-1-3","10.23919/MIKON.2018.8405200","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8405200","Synthesiser;Phase Noise;PLL;Particle Accelerator","Phase locked loops;Capacitors;Resistors;Phase noise;Frequency modulation;Resistance;Prototypes","capacitors;digital control;microwave filters;phase locked loops;resistors","microwave phase lock loops;low-noise digitally controlled variable resistor;capacitor modules;PLL filter;ultra low noise PLL circuits;particle accelerators","","","3","","","","","IEEE","IEEE Conferences"
"Integrated InP-Based Multichannel Transmitters for WDM-PON System","A. Paśnikowska; S. Stopiński; R. Piramidowicz","Warsaw University of Technology, Institute of Microelectronics and Optoelectronics, Koszykowa 75, 00-662 Warsaw, Poland; Warsaw University of Technology, Institute of Microelectronics and Optoelectronics, Koszykowa 75, 00-662 Warsaw, Poland; Warsaw University of Technology, Institute of Microelectronics and Optoelectronics, Koszykowa 75, 00-662 Warsaw, Poland","2019 Conference on Lasers and Electro-Optics Europe & European Quantum Electronics Conference (CLEO/Europe-EQEC)","","2019","","","1","1","Access network is that part of telecommunication system which connects multiple subscribers to the service provider. Currently deployed access networks mostly make use of copper cables like a twisted pair or a coaxial cable [1]. It seems, however, that they do not provide sufficient data rates to fulfil continuously increasing needs for broadband telecommunication services. One of the most promising approaches for providing high-speed, all-optical, symmetric transmission of digital signals are passive optical networks using the wavelength division multiplexing technique (WDM-PON) [2]. WDM-PON access systems can offer large capacity, high transmission rate and data security. On the other hand, they require low-cost, highly reliable devices of high overall performance. It seems that the photonic integration technology based on indium phosphide is a platform of choice to meet these requirements, as it enables fabrication of compact, reliable and energy efficient devices in a form of monolithic chips, comprising multiple active and passive components. InP-based photonic circuits can provide the functionality of light generation, propagation, modulation and detection for optical signals of wavelengths around 1550 nm.","","978-1-7281-0469-0","10.1109/CLEOE-EQEC.2019.8872315","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8872315","","Optical transmitters;Wavelength division multiplexing;Optical network units;Arrayed waveguide gratings;Passive optical networks;Modulation","coaxial cables;integrated optics;optical transmitters;passive optical networks;telecommunication network reliability;telecommunication security;twisted pair cables;wavelength division multiplexing","integrated InP-based multichannel transmitters;WDM-PON system;access network;telecommunication system;copper cables;twisted pair;coaxial cable;sufficient data rates;broadband telecommunication services;all-optical transmission;symmetric transmission;digital signals;passive optical networks;wavelength division multiplexing technique;WDM-PON access systems;high transmission rate;data security;highly reliable devices;high overall performance;photonic integration technology;compact energy efficient devices;reliable energy efficient devices;multiple active components;passive components;InP-based photonic circuits","","","4","","","","","IEEE","IEEE Conferences"
"Photonic integrated circuits for application in modern inertial measurement units","S. Stopiński; A. Jusza; R. Piramidowicz","Institute of Microelectronics and Optoelectronics, Warsaw University of Technology, Warsaw, Poland; Institute of Microelectronics and Optoelectronics, Warsaw University of Technology, Warsaw, Poland; Institute of Microelectronics and Optoelectronics, Warsaw University of Technology, Warsaw, Poland","2018 Baltic URSI Symposium (URSI)","","2018","","","27","28","In this work we present photonic integrated circuits designed for application in modern inertial measurement units. Two concepts of optical chips are discussed - one is an integrated interrogator of a fiber loop in an interferometric fiber-optic gyroscope, while the second is an integrated ring laser realized as a step towards development of a fully integrated optical gyro.","","978-8-3949-4213-7","10.23919/URSI.2018.8406761","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8406761","optical gyroscopes;inertial measurement units;optical sensing;photonic integrated circuit;indium phosphide","","fibre optic gyroscopes;fibre optic sensors;integrated optics;light interference;light interferometry;ring lasers","interferometric fiber-optic gyroscope;integrated ring laser;fully integrated optical gyro;photonic integrated circuits;modern inertial measurement units;optical chips;integrated interrogator","","","4","","","","","IEEE","IEEE Conferences"
"LuxSteg: First Practical Implementation of Steganography in VLC","G. Blinowski; P. Januszewski; G. Stepniak; K. Szczypiorski","Institute of Computer Science, Warsaw University of Technology, Warsaw, Poland; Institute of Telecommunications, Warsaw University of Technology, Warsaw, Poland; Institute of Telecommunications, Warsaw University of Technology, Warsaw, Poland; Institute of Telecommunications, Warsaw University of Technology, Warsaw, Poland","IEEE Access","","2018","6","","74366","74375","Visible-light communication (VLC) is a new technique for high-speed, low-cost wireless data transmission services. One of the areas in which VLC is considered superior to traditional radio-based communication is security. The common slogan summarizing the VLC security features is WYSIWYS- “What You See Is What You Send.”However, the broadcast nature of downlink VLC makes it possible for eavesdroppers to easily intercept the light communication in various settings, e.g., offices, conference rooms, plenum spaces, and so on. Similarly to radio-based data broadcasting systems, such as Wi-Fi, VLC opens the possibilities of hiding information in the public channel. In this paper, we describe (for the first time, to the best of our knowledge) the implementation of steganographic data transmission in a VLC system called LuxSteg. This VLC system utilizes pulse position modulation and direct sequence-code division multiple access modulation. In our implementation, multiple steganographic data streams are mixed with the spreading codes and combined with the overt data stream. We achieve a steganographic transmission rate of approximately 1 Mb/s hidden in a 110-Mb/s data stream. We analyze the influence of the spreading factor, spreading code type, number of hidden data streams, and the amplitude on the achievable transmission rate, undetectability, and robustness.","2169-3536","","10.1109/ACCESS.2018.2883250","Institute of Telecommunications, Warsaw University of Technology, through the Statutory Grant of the Polish Ministry of Science and Higher Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8543790","Communication system security;computer networks;network security;visible light communication","Multiaccess communication;Receivers;Optical transmitters;Light emitting diodes;Frequency shift keying;Data communication","code division multiple access;data communication;encoding;free-space optical communication;optical modulation;pulse position modulation;spread spectrum communication;steganography;telecommunication security","multiple steganographic data streams;steganographic transmission rate;LuxSteg;visible-light communication;data transmission services;steganographic data transmission;VLC system;direct sequence-code division multiple access modulation;radio-based communication;radio-based data broadcasting systems;VLC security;pulse position modulation","","1","36","","","","","IEEE","IEEE Journals"
"An interferometrie fiber-optic gyroscope system based on an application specific photonic integrated circuit","S. Stopiński; A. Jusza; R. Piramidowicz","Institute of Microelectronics and Optoelectronics, Warsaw University of Technology, Koszykowa 75, 00-662 Warsaw, Poland; Institute of Microelectronics and Optoelectronics, Warsaw University of Technology, Koszykowa 75, 00-662 Warsaw, Poland; Institute of Microelectronics and Optoelectronics, Warsaw University of Technology, Koszykowa 75, 00-662 Warsaw, Poland","2017 Conference on Lasers and Electro-Optics Europe & European Quantum Electronics Conference (CLEO/Europe-EQEC)","","2017","","","1","1","Optical sensing techniques are considered as one of the most advancing and extensively investigated fields of photonics technologies. The fundamental advantages of optical sensors such as immunity to electro-magnetic interference, compact size and energy efficiency designate them to use in highly requiring applications, e.g. in harsh environment and aviation. Modern optical gyroscope systems, which are a critical part of inertial measurement units (IMU) of contemporary airplanes, drones, spacecrafts and others, are definitely one of the most impressive examples of successful implementation of photonic sensors. Typically, the angular velocity is measured by utilizing the Sagnac effect occurring in rotating optical medium, which can be either an optical fiber loop or a ring laser. Nowadays, commercially available gyroscopes are realized using discrete optoelectronic components, while in this work we present and discuss an interferometric fiber-optic gyroscope (IFOG) system, which uses a monolithic application specific photonic integrated circuit (ASPIC) as the readout device. The chip has been realized using the generic foundry approach. We expect that application of such a compact photonic circuit will lead to reduction of the sensor weight and energy consumption with simultaneous increase of reliability of the device.","","978-1-5090-6736-7","10.1109/CLEOE-EQEC.2017.8086879","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8086879","","Gyroscopes;Optical fiber sensors;Optical interferometry;Optical fiber amplifiers;Sagnac interferometers","application specific integrated circuits;fibre optic gyroscopes;integrated circuit reliability;integrated optoelectronics;readout electronics","interferometric fiber-optic gyroscope system;optical sensors;inertial measurement units;photonic sensors;angular velocity;Sagnac effect;rotating optical medium;optical fiber loop;ring laser;discrete optoelectronic components;monolithic application specific photonic integrated circuit;readout device;chip;generic foundry approach;compact photonic circuit;sensor weight reduction;energy consumption;reliability;ASPIC","","","4","","","","","IEEE","IEEE Conferences"
"A universal method to control over-time alterations of respiratory sinus arrhythmia in short and long signals","I. Grzegorczyk; J. Gierałtowski; P. Krzesiński; J. Żebrowski","Faculty of Physics, Warsaw University of Technology, Warsaw, Poland; Faculty of Physics, Warsaw University of Technology, Warsaw, Poland; Department of Cardiology and Internal Diseases. Military Institute of Medicine; Faculty of Physics, Warsaw University of Technology, Warsaw, Poland","2017 Computing in Cardiology (CinC)","","2017","","","1","4","One of the ways allowing to control the performance of the Autonomic Nervous System (ANS) is monitoring the cardiorespiratory coupling. It shows how the two most important systems in the human body act to function efficiently. The effect that is believed to show these dependencies is Respiratory Sinus Arrhythmia (RSA), which causes accelerations of heart rate during inspiration and decelerates the rhythm during passive act of expiration. There are many methods to analyse the occurrence of RSA, from the basic peak-to-valley method, to more complicated ones as e.g. spectral coherence. But all of them have flaws like omitting samples or giving only a single value for the entire analysed period. In this paper, we present a simple, numeric method, which enables the analysis of the changes in the strength of RSA over the time. Our solution is called Cardiorespiratory Coupling Assessment (CCA) and calculates the value of RSA in consecutive, one-minute long windows as the median of the differences of RR intervals detected during expiration and inspiration in each window. The data necessary for the CCA method to work properly includes ECG and the respiratory signal from the chest belt measured simultaneously. In our research, we first analysed the performance of the method on synthetically generated data to verify its performance. Than we compared short 5 minute recordings obtained during spontaneous and controlled breathing and then analysed 4 hours long signals extracted from nighttime recordings. The results show that the CCA method allows to measure accurately the changes in strength of RSA over the time in both short and long signals. Moreover, the results indicate that the level of the RSA strength is larger in recordings from spontaneous breathing phase than from the controlled breathing.","2325-887X","978-1-5386-6630-2","10.22489/CinC.2017.154-409","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8331564","","Electrocardiography;Couplings;Belts;Cardiology;Time-domain analysis;Physics;Autonomic nervous system","cardiovascular system;electrocardiography;medical signal processing;neurophysiology;patient monitoring;pneumodynamics","controlled breathing;CCA method;short signals;RSA strength;universal method;arrhythmia;human body act;heart rate;inspiration;peak-to-valley method;complicated ones;single value;entire analysed period;simple method;numeric method;one-minute long windows;respiratory signal;autonomic nervous system;cardiorespiratory coupling assessment;ECG;time 5.0 min;time 4.0 hour","","","3","","","","","IEEE","IEEE Conferences"
"RF front-end for cavity simulator for the European Spallation Source","M. Grzegrzółka; K. Czuba; I. Rutkowski","Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland","2018 22nd International Microwave and Radar Conference (MIKON)","","2018","","","388","389","The Cavity Simulator was designed to simulate RF signals coming from the superconducting accelerating module in response to the signals generated by the LLRF control system. Design of this device is a part of Polish Electronics Group in-kind contribution to the European Spallation Source project. PEG will assemble, install and test all LLRF control systems for superconducting elliptical cavities used in medium and high beta sections of the ESS linac. To avoid the risk of damaging real cavities, each system will be first tested with the Cavity Simulator. The cavity model is implemented in a high speed FPGA and the device operates at 704.42 MHz. A dedicated front-end is needed to interface between the digital circuits and RF signals. Its main function will be digitizing the signal coming from the LLRF control system and generating the response calculated in the FPGA. For this purpose down-converter and vector modulator circuits with a set of data converters are used. This circuits require additional signals like clock and LO, which are also generated by the RF circuitry. In this paper the design of the Cavity Simulator RF front-end is presented.","","978-83-949421-1-3","10.23919/MIKON.2018.8405234","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8405234","Accelerators;European Spallation Source;RF systems;Cavity Simulator","Cavity resonators;Radio frequency;Clocks;Control systems;Modulation;Europe;Field programmable gate arrays","accelerator cavities;accelerator control systems;accelerator RF systems;field programmable gate arrays;linear accelerators;nuclear electronics","vector modulator circuits;RF circuitry;Cavity Simulator RF front-end;superconducting elliptical cavities;ESS linac;high speed FPGA;digital circuits;down-converter modulator circuits;cavity model;high beta sections;European Spallation Source project;Polish Electronics Group in-kind contribution;LLRF control system;superconducting accelerating module;RF signals;frequency 704.42 MHz","","","3","","","","","IEEE","IEEE Conferences"
"Effective and Simple Control of Grid-Connected Three-Phase Converter Operating at a Strongly Distorted Voltage","A. Milczarek; K. Możdżyński; M. Malinowski; S. Styński","Electrical Engineering Department, Warsaw University of Technology, Warsaw, Poland; Electrical Engineering Department, Warsaw University of Technology, Warsaw, Poland; Electrical Engineering Department, Warsaw University of Technology, Warsaw, Poland; Electrical Engineering Department, Warsaw University of Technology, Warsaw, Poland","IEEE Access","","2020","8","","12307","12315","Three-phase power electronics converters (PECs) are commonly used as an interconnection of DC loads/sources with the electrical AC power system. Their important goal is to ensure three-phase symmetrical and pure sinusoidal grid current waveforms. Unfortunately, frequent adverse of grid voltage conditions like the occurrence of higher order harmonics and dips/sags leads to problems in maintaining high-quality parameters of current and stable operation of PEC. Therefore, a more complex control algorithms are usually used to solve those problems. In this paper, effective and simple control is proposed to mitigate grid current distortions caused by grid-voltage harmonics. This improvement of current quality can be easily obtained in control of grid-connected PEC using only band notch filtered grid voltage as a feedforward without any additional control loops parallel connected to linear current controllers (tuned to fundamental frequency). Theoretical analysis with simulation and experimental investigations are presented, which prove very good properties and advantages of the proposed control idea.","2169-3536","","10.1109/ACCESS.2020.2965727","Fundacja na rzecz Nauki Polskiej; European Regional Development Fund; Narodowe Centrum Nauki; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8955793","Current harmonics mitigation;DC-AC power conversion;grid distortions;harmonic distortion;voltage control","","DC-AC power convertors;electric current control;feedforward;notch filters;power electronics;power grids;power harmonic filters;power supply quality;voltage control","feedforward;voltage sags;voltage dips;DC loads;linear current controllers;band notch filtered grid voltage;grid-connected PEC;current quality;grid-voltage harmonics;pure sinusoidal grid current waveforms;electrical AC power system;three-phase power electronics converters;distorted voltage;grid-connected three-phase converter","","","22","CCBY","","","","IEEE","IEEE Journals"
"850 nm Single-Mode VCSEL for Error-Free 60 Gbit/s OOK Operation and Transmission through 800 m of Multi-Mode Fiber","N. Ledentsov; L. Chorchos; M. Agustin; N. N. Ledentsov; J. P. Turkiewicz","VI Systems GmbH, Hardenbergstr. 7, 10623 Berlin, Germany; Warsaw University of Technology, Nowowiejska 15/19, 00-661 Warsaw, Poland; Warsaw University of Technology, Nowowiejska 15/19, 00-661 Warsaw, Poland; VI Systems GmbH, Hardenbergstr. 7, 10623 Berlin, Germany; VI Systems GmbH, Hardenbergstr. 7, 10623 Berlin, Germany; Warsaw University of Technology, Nowowiejska 15/19, 00-661 Warsaw, Poland","2019 Optical Fiber Communications Conference and Exhibition (OFC)","","2019","","","1","3","We report 60 Gbit/s OOK data transmission with directly modulated 850 nm single-mode VCSELs without applying equalization or digital signal processing. Data transmission over 800 m of multi-mode fiber is demonstrated.","","978-1-943580-53-8","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8696400","","Vertical cavity surface emitting lasers;Optical fibers;Bandwidth;Adaptive optics;Optical signal processing;Optical attenuators","amplitude shift keying;data communication;laser cavity resonators;laser modes;light transmission;optical communication equipment;optical fibre communication;optical modulation;surface emitting lasers","multi-mode fiber;data transmission;directly modulated single-mode VCSEL;error-free 60 Gbit/s OOK transmission;error-free 60 Gbit/s OOK operation;wavelength 850.0 nm","","","8","","","","","IEEE","IEEE Conferences"
"All-Fiber Polarization Maintaining Thulium Doped Amplifier Seeded by Coherent Polarized Supercontinuum","A. Rampur; G. Stepniewski; D. Dobrakowski; Y. Stepanenko; A. Heidt; T. Feurer; M. Klimczak","Faculty of Physics, University of Warsaw, Pasteura 5, Warsaw, 02-093, Poland; Glass Department, Institute of Electronic Materials Technology, Wólczyńska 133, Warsaw, 01-919, Poland; Faculty of Physics, University of Warsaw, Pasteura 5, Warsaw, 02-093, Poland; Polish Academy of Sciences, Institute of Physical Chemistry, Kasprzaka 44/52, Warsaw, 01-224, Poland; University of Bern, Institute of Applied Physics, Sidlerstrasse 5, Bern, 3012, Switzerland; University of Bern, Institute of Applied Physics, Sidlerstrasse 5, Bern, 3012, Switzerland; Faculty of Physics, University of Warsaw, Pasteura 5, Warsaw, 02-093, Poland","2019 Conference on Lasers and Electro-Optics (CLEO)","","2019","","","1","2","Coherently seeded, broadband ultrafast thulium fiber amplifier is demonstrated. Its architecture comprises only polarization-maintaining fibers. Preliminary results show amplification of 2 nJ, 5.5ps long, 100 nm (3dB) pulses centered at 1900 nm before recompression.","2160-8989","978-1-943580-57-6","10.1364/CLEO_SI.2019.SM3L.5","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8749425","","Optical fiber amplifiers;Optical fiber dispersion;Optical fiber polarization;Ultrafast optics;Broadband amplifiers","optical fibre amplifiers;optical fibre polarisation;optical pulse compression;optical pulse generation;supercontinuum generation;thulium","coherent polarized supercontinuum;polarization-maintaining fibers;coherently seeded broadband ultrafast thulium fiber amplifier;all-fiber polarization maintaining thulium doped amplifier;size 100.0 nm;energy 2.0 nJ;time 5.5 ps;wavelength 1900.0 nm","","","7","","","","","IEEE","IEEE Conferences"
"Instantaneous Reactive Power in Systems with Stochastic Electric Power Processes","A. Nikitenko; M. Kostin; A. Szeląg; W. Jefimowski; T. Mishchenko","Institute of Electrical Power Engineering, Warsaw University of Technology, Warsaw, Poland; Department of Electrical Engineering and Electromechanics, Dnipropetrovsk National University of Railway Transport named after Academician V. Lazaryan, Dnipro, Ukraine; Institute of Electrical Power Engineering, Warsaw University of Technology, Warsaw, Poland; Institute of Electrical Power Engineering, Warsaw University of Technology, Warsaw, Poland; Department of Intellectual Electric Power Supply Systems, Dnipropetrovsk National University of Railway Transport named after Academician V. Lazaryan, Dnipro, Ukraine","2019 IEEE 6th International Conference on Energy Smart Systems (ESS)","","2019","","","52","57","The paper is dedicated to the estimation of instantaneous reactive power in a DC traction power system. Currently, the integral and frequency methods are mostly used to define reactive power and do not give high accuracy in the calculations of power balance or cannot describe the essence of physical processes. The problem is complicated in DC electric transport systems due to random impulse character of voltages and currents. As a comparison, the calculation of reactive power according to various approaches was performed for the DE1 electric locomotive. It is suggested that the instantaneous reactive power should be used for the analysis of electromagnetic exchange processes in DC power systems. The paper shows the definition and main formulas for defining the instantaneous reactive power taking into consideration the random character of voltage and current. Numerical calculations together with statistical analysis were performed for two variants of experimentally recorded voltages and currents: the first one - on the bus-bar of traction substation, which supplies the section with the Pendolino trains in Poland and the second one - on the current collector of the VL8 electric locomotive in Ukraine. They confirm the validity of the aforementioned method.","","978-1-7281-2160-4","10.1109/ESS.2019.8764210","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8764210","instantaneous power;reactive power;railway transport;power system;substation;locomotive","Reactive power;Substations;Erbium;Conferences;Finite element analysis;Power engineering","electric locomotives;railway electrification;reactive power;statistical analysis;stochastic processes;substations;traction power supplies","instantaneous reactive power;stochastic electric power processes;DC traction power system;power balance;DC electric transport systems;DC power systems;integral methods;frequency methods;DE1 electric locomotive;electromagnetic exchange processes;numerical calculations;statistical analysis;recorded voltages;recorded current;traction substation;Pendolino trains;Poland;current collector;VL8 electric locomotive;Ukraine","","","24","","","","","IEEE","IEEE Conferences"
