Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,,,,,,,,,,
SiC-based three-phase Quasi-Z-Source Inverter versus the two-stage topology - a comparison,K. Wolski; M. Zdanowski; J. Rabkowski,"Faculty of Electrical Engineering, Warsaw University of Technology, Warsaw, Poland; Faculty of Electrical Engineering, Warsaw University of Technology, Warsaw, Poland; Faculty of Electrical Engineering, Warsaw University of Technology, Warsaw, Poland",2018 International Power Electronics Conference (IPEC-Niigata 2018 -ECCE Asia),,2018,,,2129,2136,"The paper presents an in-depth experimental comparative study between a three-phase Quasi-Z-Source Inverter (qZSI) and a Boost Converter with Voltage-Source Inverter (BC+VSI). Both converters obtain identical output phase voltage value of 230 V RMS from DC input voltage in range of 400 V ÷ 550 V at a similar value of input inductor current ripple. The quality factors investigated are: power losses as well as both input inductor current and output voltage quality (considering both low- and high-frequency harmonics). Moreover, four variants of modulation methods are investigated. At switching frequency of 100 kHz results of experiments using SiC-based 6-kW laboratory models show that at identical conditions the BC+VSI configuration has lower losses and better quality of the output voltage, while qZSI has better quality of the input inductor current.",,978-4-88686-405-5,10.23919/IPEC.2018.8507720,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8507720,SiC;qZSI;boost;comparison,Inductors;Modulation;Switches;Topology;Inverters;Harmonic analysis,elemental semiconductors;inductors;invertors;power conversion harmonics;Q-factor;voltage-source convertors;wide band gap semiconductors,output voltage quality;voltage-source inverter;silicon carbide-based three-phase quasi-Z-source inverter;input inductor current ripple;low-frequency harmonics;modulation methods;silicon carbide-based laboratory models;two-stage topology;BC+VSI configuration;high-frequency harmonics;quality factors;DC input voltage;identical output phase voltage value;voltage 230 V;frequency 100 kHz;voltage 400 V;voltage 550 V;SiC,,3,6,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
4D Antennas Design and Technology – the State of the Art,J. Modelski; Y. Yashchyshyn; G. Bogdan,"Institute of Radioelectronics and Multimedia Technology, Warsaw University of Technology, Warsaw, Poland; Institute of Radioelectronics and Multimedia Technology, Warsaw University of Technology, Warsaw, Poland; Institute of Radioelectronics and Multimedia Technology, Warsaw University of Technology, Warsaw, Poland",2019 IEEE MTT-S International Wireless Symposium (IWS),,2019,,,1,3,The 4D (four-dimensional) antenna array introduces time as an additional degree of freedom in antenna beamforming. Periodical on/off switching applied to each element of the antenna array leads to generation of sidebands which are suitable for multi-channel transmission and smart beamforming. This paper provides an overview of the state of the art in the area of 4D antennas with focus on technical limitations and achievable performance.,,978-1-7281-0716-5,10.1109/IEEE-IWS.2019.8803899,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8803899,antennas;adaptive antennas;smart antennas;time modulated antenna arrays;4D arrays;beamforming,,antenna arrays;array signal processing;telecommunication switching,4D antennas design;antenna beamforming;multichannel transmission;smart beamforming;4D antenna array;four-dimensional antenna array;degree of freedom;periodical on-off switching,,,23,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
Adjustable speed generation system under fault condition,W. Koczara; A. Krasnodebski; T. Balkowiec,"WARSAW UNIVERSITY OF TECHNOLOGY, INSTITUTE OF CONTROL AND INDUSTRIAL ELECTRONICS, Koszykowa 75, 00-662 Warsaw, Poland; WARSAW UNIVERSITY OF TECHNOLOGY, INSTITUTE OF CONTROL AND INDUSTRIAL ELECTRONICS, Koszykowa 75, 00-662 Warsaw, Poland; WARSAW UNIVERSITY OF TECHNOLOGY, INSTITUTE OF CONTROL AND INDUSTRIAL ELECTRONICS, Koszykowa 75, 00-662 Warsaw, Poland",2017 19th European Conference on Power Electronics and Applications (EPE'17 ECCE Europe),,2017,,,P.1,P.9,"Paper presents performance of the 40kVA autonomous, adjustable speed generation system in a short-circuit condition, protected by a B-class tripping switch. Tripping switch is unable to clear the short-circuit event when an inverter current is limited, thus a topology of asynchronous bypass is developed, which delivers additional current directly from permanent magnet generator. Experiments of the laboratory stand that has been carried out, including asynchronous bypass, concludes that the sum of the inverter current and permanent magnet current results in disconnection of the affected load in time less than 20 ms.",,978-90-75815-27-6,10.23919/EPE17ECCEEurope.2017.8099022,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8099022,Faults;Adjustable speed generation system;Permanent magnet generator;Thyristor,Torque;Engines;Inverters;Europe;Generators;Inductors;Permanent magnet generators,invertors;permanent magnet generators;power convertors;synchronous generators;variable speed drives,inverter current;permanent magnet generator;fault condition;short-circuit condition;B-class tripping switch;autonomous adjustable speed generation system;asynchronous bypass topology;permanent magnet current;apparent power 40.0 kVA,,,15,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
Spectrum shaping in zero correlation zone noise signals,J. S. Kulpa; A. Kurowska; K. Kulpa,"Warsaw University of Technology, Institute of Electronic Systems, Nowowiejska 15/19 00-665, Poland; Warsaw University of Technology, Institute of Electronic Systems, Nowowiejska 15/19 00-665, Poland; Warsaw University of Technology, Institute of Electronic Systems, Nowowiejska 15/19 00-665, Poland",2017 IEEE Radar Conference (RadarConf),,2017,,,211,215,"Noise radars offers several advantages over classical ones, but they have to deal with the masking problem. The masking problem occurs when strong echoes mask weaker echoes in their correlation sidelobes. Moreover due to the increasing number of telecommunication and radar systems, the frequency band allocation becomes an issue and many systems may be forced to coexist in given frequency band. In this paper the novel technique of correlation sidelobe reduction and spectrum shaping of the pseudo-random signal is presented. The sidelobe suppression and band modeling is accomplished by sets of FIR filters. The theoretical analysis and simulations are presented.",2375-5318,978-1-4673-8823-8,10.1109/RADAR.2017.7944199,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7944199,Noise radars;Waveform Design;ZCZ;Frequency coexistence,Correlation;Doppler radar;Radar antennas;Radar detection;Doppler effect;Radio spectrum management,radar signal processing,spectrum shaping;zero correlation zone noise signals;noise radars;correlation sidelobes;frequency band;correlation sidelobe reduction;pseudo-random signal;sidelobe suppression;band modeling;FIR filters;theoretical analysis;theoretical simulations,,,22,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
EIA/TIA-485 transceiver in standard 130 nm CMOS technology,M. Wysocki; K. Siwiec; W. A. Pleskacz,"Institute of Microelectronics & Optoelectronics, Warsaw University of Technology, ul. Koszykowa 75, 00-662 Warsaw, Poland; Institute of Microelectronics & Optoelectronics, Warsaw University of Technology, ul. Koszykowa 75, 00-662 Warsaw, Poland; Institute of Microelectronics & Optoelectronics, Warsaw University of Technology, ul. Koszykowa 75, 00-662 Warsaw, Poland","2017 MIXDES - 24th International Conference ""Mixed Design of Integrated Circuits and Systems",,2017,,,258,263,"This paper describes the design of the transceiver, which is the implementation of the physical layer of EIA/TIA-485 standard. This circuit is a part of a more complex System on Chip designed in 130 nm CMOS technology. The problems encountered during the design process was described. The crucial issue was the relatively high voltage range, from -7 V to 12 V, that may appear on the pins of the SoC and damage it. The circuit techniques was proposed to solve this problem and in the result the complete solution of the transceiver, consisting of a driver and a receiver is presented. The transceiver uses standard 3.3 V IO transistors. The simulation results show that designed transceiver comply with the standard.",,978-83-63578-12-1,10.23919/MIXDES.2017.8005195,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8005195,EIA/TIA-485;tranceiver;driver;receiver;CMOS;interface;physical layer,Integrated circuits;Logic gates;Hot carriers;Junctions;Electric breakdown;Substrates;Transistors,CMOS integrated circuits;system-on-chip;transceivers,EIA/TIA-485 transceiver;standard CMOS technology;physical layer;system on chip;SoC;driver;receiver;IO transistors;circuit techniques;size 130 nm;voltage -7 V to 12 V;voltage 3.3 V,,,4,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
"Statistical modelling of urban heat island intensity in Warsaw, Poland using simultaneous air and surface temperature observations",L. Gawuc; M. Jefimow; K. Szymankiewicz; M. Kuchcik; A. Sattari; J. Struzewska,"The National Centre for Emissions Management, Institute of Environmental Protection National Research Institute, Warsaw Poland (e-mail: lech.gawuc@kobize.pl); Faculty of Building Services, Hydro and Environmental Engineering, Warsaw University of Technology, 49566 Warszawa Poland (e-mail: maciej.jefimow@pw.edu.pl); The National Centre for Emissions Management, Institute of Environmental Protection National Research Institute, Warsaw Poland (e-mail: karol.szymankiewicz@kobize.pl); Institute of Geography and Spatial Organization, Polish Academy of Sciences, 49559 Warszawa, Mazowieckie Poland (e-mail: mkuchcik@twarda.pan.pl); Institute of Geophysics, Polish Academy of Sciences, 49559 Warszawa, Mazowieckie Poland (e-mail: asattari@igf.edu.pl); Faculty of Building Services, Hydro and Environmental Engineering, Warsaw University of Technology, 49566 Warszawa Poland (e-mail: joanna.struzewska@pw.edu.pl)",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,,2020,PP,99,1,1,"Urban heat island (UHI) is one of the most distinctive characteristics of urban climate. The objective of the presented study was to apply a statistical modelling of the nocturnal atmospheric UHI based on the relationship between observed air temperature from ground stations and remotely-sensed temperature of the urban surface. The goal of the approach was to limit input data for the developed modelling method in order to assure transferability of the methodology to different cities. Time series of surface temperature and NDVI were obtained from the MODIS instrument for a 10 year period (2008-2017). The air temperature was collected from the in-situ observational network of 21 stations. The study was conducted for different locations with gradual changes in urbanization in order to assess the impact of urbanization on the relationship between simultaneous air and surface UHI. The urbanization was described by commonly available land cover metrics. Results showed that the proposed approach provided satisfactory AUHI modelling results for the locations with the least degree of urbanization. The best results were obtained with a simple linear regression model with the iterative procedure to minimize the mean absolute gross error (MAGE). The lowest MAGE for modelled UHI was 1.18°C with 69% of the variance explained. The strongest linear relationship between simultaneous SUHI and AUHI was noted for those station pairs which their surroundings have the highest differences in urbanization, and the highest UHI intensities observed. The strength of the SUHI/AUHI linear relationship decreases gradually with the increasing urbanization of the stations' surroundings.",2151-1535,,10.1109/JSTARS.2020.2989071,Narodowe Centrum Nauki; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9104931,urban climate;urban heat island;surface temperature;air temperature;regression;statistical modelling;prediction,,,,,,,CCBY,,,,IEEE,IEEE Early Access Articles,,,,,,,,,,,
Impact of transistor DC operating condition on effectiveness of PA digital predistortion,K. Jędrzejewski; D. W. Rosolowski; W. Wojtasiak,"Institute of Electronic Systems, Warsaw University of Technology; Institute of Radioelectronics and Multimedia Technology, Warsaw University of Technology; Institute of Radioelectronics and Multimedia Technology, Warsaw University of Technology",2018 22nd International Microwave and Radar Conference (MIKON),,2018,,,492,495,"The paper presents the results of laboratory studies on influence of DC transistor operating conditions both on power amplifier (PA) linearity and effectiveness of digital predistortion procedure. The impact of DC operating conditions of 10 W GaN HEMT power amplifier on nonlinearity factors without and with digital predistortion (DPD) were investigated. The obtained results show that there is an additional improvement in adjacent channel leakage ratio (ACLR) of the order of a few dB only by an increase in the quiescent drain current of PA transistor. However, some noticeable improvement of ACLR with significant increase in PA power added efficiency (PAE) is obtained for PA with digital predistortion.",,978-83-949421-1-3,10.23919/MIKON.2018.8405265,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8405265,digital predistortion;DPD;power amplifier;PA;biasing point;PA DC operating point optimization,Predistortion;Transistors;Linearity;Computational modeling;Computer architecture;Power demand,aluminium compounds;gallium compounds;HEMT circuits;III-V semiconductors;power amplifiers;wide band gap semiconductors,adjacent channel leakage ratio;ACLR;PA transistor;transistor DC operating condition;PA digital predistortion;power amplifier linearity;digital predistortion procedure;nonlinearity factors;GaN;power 10.0 W;quiescent drain current;HEMT power amplifier;power added efficiency,,,10,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
High-frequency isolated DC-DC converter with GaN HEMTs,M. Zdanowski; K. Kozdroj; J. Rabkowski,"Institute of Control and Industrial Electronics, Warsaw University of Technology, Poland; Institute of Control and Industrial Electronics, Warsaw University of Technology, Poland; Institute of Control and Industrial Electronics, Warsaw University of Technology, Poland",2017 Progress in Applied Electrical Engineering (PAEE),,2017,,,1,6,"This paper presents a 325 to 24 V, 1 kW isolated uni-directional DC-DC converter, build with Gallium Nitride (GaN) High-Electron-Mobility Transistors (HEMTs) switching at frequencies of up to 250 kHz. The system is designed by means of LTspice simulations using precise device models. Primarily, a problem of overvoltage across HEMTs is studied, optimal selection of RC snubbers is presented and, finally, verified by a series of experimental tests. Presented waveforms of the drain - source voltage show significant reduction of voltage overshoots and change of resonant frequency values. Paper also presents results of laboratory tests, including specific waveforms and power loss/efficiency measurements for switching frequency range from 100 kHz to 250 kHz.",,978-1-5386-1528-7,10.1109/PAEE.2017.8009023,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8009023,Gallium Nitride;HEMT transistors;DC-DC isolated converter;high - frequency;power losses;RC snubber,HEMTs;MODFETs;Gallium nitride;Snubbers;Capacitance;Capacitors;Voltage control,DC-DC power convertors;gallium compounds;HEMT integrated circuits;III-V semiconductors;overvoltage;RC circuits;snubbers;wide band gap semiconductors,high-frequency isolated DC-DC converter;HEMT;isolated unidirectional DC-DC converter;gallium nitride high-electron-mobility transistors;LTspice simulations;precise device models;overvoltage problem;RC snubbers optimal selection;voltage overshoots reduction;laboratory test;power loss-efficiency measurements;switching frequency range;power 1 kW;frequency 100 kHz to 250 kHz;GaN,,1,11,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
"Derivative Differential, Inductive Sensors for Short Magnetic Pulse Measurements",B. Dziadak; A. Jóśko; J. Starzyński,"Measurement and Information Systems, Warsaw University of Technology, Institute of Theory of Electrical Engineering, Warsaw, Poland; Measurement and Information Systems, Warsaw University of Technology, Institute of Theory of Electrical Engineering, Warsaw, Poland; Measurement and Information Systems, Warsaw University of Technology, Institute of Theory of Electrical Engineering, Warsaw, Poland",19th International Conference Computational Problems of Electrical Engineering,,2018,,,1,4,"The article presents the proposal solution of the magnetic field sensor design process. The task aims at design the low cost, “single use” inductive coil capable of the measurement rapid high level electromagnetic pulses in destructive conditions. The measurement environment makes it impossible to use reference sensor for its vulnerability and price. Proposed sensors are verified against reference Montena B-dot SGM2G sensor. The results of the 4/16μs standard shock impulse measurements together with additional simulations are presented and discussed.",,978-1-5386-7895-4,10.1109/CPEE.2018.8507115,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8507115,search coil;electromagnetic pulse stroke measurements;electromagnetic field,Magnetic sensors;Magnetic field measurement;Magnetic fields;Magnetic resonance imaging;Magnetometers;Current measurement,coils;inductance measurement;inductive sensors;level measurement;magnetic field measurement;magnetic sensors;pulse measurement;shock measurement,magnetic field sensor design;standard shock impulse measurements;rapid high level electromagnetic pulse measurement;reference Montena B-dot SGM2G sensor;inductive coil;short magnetic pulse measurements;inductive sensors;derivative differential sensors;time 4.0 mus;time 16.0 mus,,,18,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
CMOS Differential Amplifier as a Physically Unclonable Function,S. Reszewicz; K. Siwiec; W. A. Pleskacz,"Institute of Microelectronics & Optoelectronics,Warsaw University of Technology,Warszawa,POLAND,00-662; Institute of Microelectronics & Optoelectronics,Warsaw University of Technology,Warszawa,POLAND,00-662; Institute of Microelectronics & Optoelectronics,Warsaw University of Technology,Warszawa,POLAND,00-662",2020 23rd International Symposium on Design and Diagnostics of Electronic Circuits & Systems (DDECS),,2020,,,1,4,This paper presents a Differential Amplifier architecture realizing a Physical Unclonable Function. The differential structure has been chosen to improve robustness of the PUF. The proposed circuit achieves temperature-dependent reliability equal to 94.49% and voltage supply-dependent reliability as high as 99.33%. The PUF uniqueness is 49.24% with a standard deviation equal to 0.0442.,2473-2117,978-1-7281-9938-2,10.1109/DDECS50862.2020.9095749,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9095749,Unclonable Function;PUF;HHGrace;Differential Amplifier;cybersecurity;authentication,Transistors;Differential amplifiers;Reliability;Hysteresis;Standards;Inverters;Mirrors,,,,,9,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
Implementation and Comparison of SPA and DPA Countermeasures for Elliptic Curve Point Multiplication,Ł. Ostrowski; K. Marcinek; W. A. Pleskacz,"Warsaw University of Technology, Institute of Microelectronics and Optoelectronics, Warsaw, Poland; Warsaw University of Technology, Institute of Microelectronics and Optoelectronics, Warsaw, Poland; Warsaw University of Technology, Institute of Microelectronics and Optoelectronics, Warsaw, Poland","2019 MIXDES - 26th International Conference ""Mixed Design of Integrated Circuits and Systems"","",""2019",,,227,230,"The core operation of all cryptosystems based on Elliptic Curve Cryptography is Elliptic Curve Point Multiplication. Depending on implementation it can be vulnerable to different Side Channel Analysis attacks exploiting information leakage, such as power consumption or execution time. Multiple countermeasures against these attacks have been developed over time, each having different impact on parameters of the cryptosystem. This paper summarizes popular countermeasures for simple and differential power analysis attacks on Elliptic Curve cryptosystems. Presented secure algorithms were implemented in Verilog hardware description language and synthesized to logic gates for power trace generation.",,978-83-63578-16-9,10.23919/MIXDES.2019.8787129,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8787129,Elliptic Curve Cryptosystem;Elliptic Curve Point Multiplication;Simple Power Analysis Attack;Differential Power Analysis Attack,Integrated circuits,hardware description languages;logic gates;public key cryptography,DPA countermeasures;differential power analysis attacks;side channel analysis attacks;power analysis attacks;elliptic curve cryptosystems;elliptic curve cryptography;elliptic curve point multiplication,,,8,,,,,IEEE,IEEE Conferences,,,,,,,,,,,,,
SiC Mosfet versus Si IGBT based H-bridge quasi-Z-source converter,T. Gajowik; K. Możdżyński; M. Malinowski; K. Ghazi; H. Abu-Rub,"Instytute of Control and Power Electronics, Warsaw University of Technology, Warsaw, Poland; Instytute of Control and Power Electronics, Warsaw University of Technology, Warsaw, Poland; Instytute of Control and Power Electronics, Warsaw University of Technology, Warsaw, Poland; Electrical and Computer Engineering Department, Texas A&M University at Qatar, Doha, Qatar; Electrical and Computer Engineering Department, Texas A&M University at Qatar, Doha, Qatar","2018 IEEE 12th International Conference on Compatibility, Power Electronics and Power Engineering (CPE-POWERENG 2018)",,2018,,,1,5,"H-bridge quasi-Z-Source (HBqZS) converter became attractive solution for integration of photovoltaic (PV) panels to low voltage grid due to single stage power conversion. In this paper, a comparison analysis of two power semiconductor technologies, SiC-Mosfet and Si-IGBT, applied to HBqZS converter is presented. The comparison includes: efficiency and losses distribution among converter's components, impact of switching frequency on the parameters of passive components, as well as cost for both technologies. Finally, hardware SiC-Mosfet model is compared with simulation analysis.",2166-9546,978-1-5386-2508-8,10.1109/CPE.2018.8372612,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8372612,H-bridge quasi-Z-Source (HBqZS) converter;Si-IGBT;SiC-MOSFET;efficiency;comparison,Silicon;Hardware;Inductors;Silicon carbide;Insulated gate bipolar transistors;Switching frequency;Transistors,bipolar transistor circuits;MOSFET circuits;power convertors;power grids;silicon compounds;solar cells;wide band gap semiconductors,photovoltaic panels;low voltage grid;single stage power conversion;power semiconductor technologies;HBqZS converter;MOSFET;silicon IGBT based H-bridge quasiZ-source converter;PV panels;losses distribution;switching frequency;simulation analysis;passive component;SiC;Si,,,16,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
Optofluidic Photonic Crystal Fiber-Based Sensors,S. Ertman; P. Lesiak; T. R. Woliński,"Faculty of Physics, Warsaw University of Technology, Warszawa, Poland; Faculty of Physics, Warsaw University of Technology, Warszawa, Poland; Faculty of Physics, Warsaw University of Technology, Warszawa, Poland",Journal of Lightwave Technology,,2017,35,16,3399,3405,"Over the last few years, there has been a growing interest in the field of microstructured optofluidic waveguides and especially those created by filling photonic crystal fibers with fluids. This paper presents an overview of sensing properties of optofluidic photonic crystal fiber-based sensors of temperature, pressure, electric/magnetic field, and refractive index that utilize photonic crystal fibers infiltrated with both isotropic and anisotropic liquids.",1558-2213,,10.1109/JLT.2016.2596540,National Centre for Research and Development; National Science Center under the Opus; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7526308,Electric field sensors;magnetic field sensors;optical fiber sensor;optofluidic waveguides;temperature sensor,Temperature sensors;Optical fiber sensors;Temperature measurement;Optical fiber polarization;Magnetic liquids,anisotropic media;electric field measurement;fibre optic sensors;fluidic devices;holey fibres;magnetic field measurement;photonic crystals;pressure measurement;refractive index;refractive index measurement;temperature measurement,optofluidic photonic crystal fiber-based sensors;microstructured optofluidic waveguides;temperature sensing;pressure sensing;electric field sensing;magnetic field sensing;refractive index sensing;anisotropic liquids,,6,83,,,,,IEEE,IEEE Journals,,,,,,,,,,,
Filter-Based Design of Noise Radar Waveform With Reduced Sidelobes,J. S. Kulpa; Ł. Maślikowski; M. Malanowski,"Warsaw University of Technology, Warsaw, Poland; Warsaw University of Technology, Warsaw, Poland; Warsaw University of Technology, Warsaw, Poland",IEEE Transactions on Aerospace and Electronic Systems,,2017,53,2,816,825,"Noise radars possess several advantageous properties, including low probability of detection and identification, especially when working in continuous-wave mode. One of the main drawbacks of such radars is the occurrence of the masking effect, when a weak target echo is masked by the sidelobes of a strong target echo. The sidelobes of the ambiguity function emerge on the level of the time-bandwidth product below the main peak and are spread in the entire range-Doppler plane. While most approaches to mitigate the masking effect focus on the processing of the received signal, it is possible to move the computation burden to the waveform design phase. This paper describes a filter-based method of creating noise-like waveforms that have very low sidelobes in the area of certain range and Doppler shifts. Both theoretical analysis and measurement results are presented and compared with the lattice filter method of masking effect cancellation.",1557-9603,,10.1109/TAES.2017.2665145,Polish Ministry of Science and Higher Education; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7845557,Dynamic range improvement;noise radar;radar;radar signal processing;signal design;waveform design;zero correlation zone.,Correlation;Doppler radar;Signal processing algorithms;Radar detection;Time-frequency analysis;Doppler effect,CW radar;Doppler radar;filtering theory;probability;radar detection,filter-based design;noise radar waveform;reduced sidelobe;probability;radar detection;radar identification;continuous-wave radar;weak target echo masking effect;strong target echo sidelobe;time-bandwidth product;range-Doppler plane;received signal processing;noise-like waveform design phase;Doppler shift;lattice filter method,,4,29,,,,,IEEE,IEEE Journals,,,,,,,,,,,
Analysis of the impact of the development of intermittent renewable energy on the costs of the power system operation,M. Połecki; D. Baczyński; D. Rasolomampionona,"Institute of Electrical Power Engineering, Faculty of Electrical Engineering, Warsaw University of Technology, Warsaw, Poland; Institute of Electrical Power Engineering, Faculty of Electrical Engineering, Warsaw University of Technology, Warsaw, Poland; Institute of Electrical Power Engineering, Faculty of Electrical Engineering, Warsaw University of Technology, Warsaw, Poland",2019 IEEE International Conference on Environment and Electrical Engineering and 2019 IEEE Industrial and Commercial Power Systems Europe (EEEIC / I&CPS Europe),,2019,,,1,5,The subject of the paper is solving the problem of optimal selection of the generating unit composition (Unit Commitment) in selected variants of the renewable generation sources participation in the total generation. A methodology for determining the optimal composition of generating units using a MATLAB program is presented. Also an extension of the classical algorithm with the possibility of deriving a reduction of power generated in RES power plants to reduce the costs of power system operation is presented.,,978-1-7281-0653-3,10.1109/EEEIC.2019.8783598,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8783598,RES;unit commitment;curtailment,Wind farms;Mathematical model;Economics;Load modeling;Power systems;Wind power generation,power generation dispatch;power generation economics;power generation scheduling;renewable energy sources,total generation;MATLAB program;RES power plants;power system operation;intermittent renewable energy;optimal selection;generating unit composition;selected variants;renewable generation sources participation;unit commitment;costs reduction,,,17,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
An Extended T-type (eT) Inverter Based on SiC Power Devices,J. Rabkowski; S. Piasecki; R. Kopacz,"WARSAW UNIVERSITY OF TECHNOLOGY, Institute of Control and Industrial Electronics, Koszykowa 7, Warsaw, 00-662, Poland; WARSAW UNIVERSITY OF TECHNOLOGY, Institute of Control and Industrial Electronics, Koszykowa 7, Warsaw, 00-662, Poland; WARSAW UNIVERSITY OF TECHNOLOGY, Institute of Control and Industrial Electronics, Koszykowa 7, Warsaw, 00-662, Poland",2018 20th European Conference on Power Electronics and Applications (EPE'18 ECCE Europe),,2018,,,P.1,P.10,"The paper presents simulation and experimental study focused on a modified topology of the power converter-an extended T-type (eT) inverter designed and built with SiC power devices. It consist the standard three phase T-type topology with additional DC/DC converter connected across the DC side capacitors. The eT inverter shows high voltage gain and, in consequence, may be applied as an interface between three-phase grid and low voltage sources (i.e PV panels). Moreover, the DC/DC converter is capable to influence neutral point potential and necessary capacitance of the DC side capacitors is lower. Basic operation principles are explained and simulations on the 6 kV A laboratory model are shown. eT inverter is supplying resistive load with 3×400V RMS output voltage from 250 V DC source. Finally, a series of experiments of a laboratory model designed with SiC MOSFETs and Schottky diodes is also presented.",,978-9-0758-1528-3,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8515303,Multilevel converters;Silicon Carbide;VSI;Converter circuit,Inverters;Capacitors;Silicon carbide;Transistors;Topology;Load modeling;Europe,DC-DC power convertors;invertors;MOS integrated circuits;Schottky diodes;silicon compounds;switching convertors,additional DC-DC converter;RMS output voltage;DC source;neutral point;low voltage sources;three-phase grid;high voltage gain;eT inverter;DC side capacitors;standard three phase T-type topology;experimental study;SiC power devices;extended T-type inverter;voltage 6.0 kV;voltage 400.0 V;voltage 250.0 V,,,8,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
Chirp Rate Estimation and micro-Doppler Signatures for Pedestrian Security Radar Systems,K. Abratkiewicz; D. Gromek; P. Samczynski,"Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland",2019 Signal Processing Symposium (SPSympo),,2019,,,212,215,"A new approach to micro-Doppler signal analysis is presented in this article. Novel chirp rate estimators in the time-frequency domain were used for this purpose, which provided the chirp rate of micro-Doppler signatures, allowing the classification of objects in the urban environment. As an example verifying the method, a signal from a high-resolution radar with a linear frequency modulated continuous wave (FMCW) recording an echo reflected from a pedestrian was used to validate the proposed algorithms for chirp rate estimation. The obtained results are plotted on saturated accelerograms, giving an additional parameter dedicated for target classification in security systems utilizing radar sensors for target detection.",,978-1-7281-1715-7,10.1109/SPS.2019.8882000,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8882000,time-frequency analysis;chirp rate estimation;micro-Doppler;FMCW radar,Radar;Chirp;Spectrogram;Estimation;Time-frequency analysis;Security;Radar antennas,chirp modulation;CW radar;Doppler radar;FM radar;object detection;radar detection;radar receivers;radar resolution;signal classification;time-frequency analysis,time-frequency domain;microDoppler signatures;high-resolution radar;linear frequency modulated continuous wave;chirp rate estimation;security systems;pedestrian security radar systems;microDoppler signal analysis;chirp rate estimators;FMCW;saturated accelerograms;target classification;radar sensors;target detection,,1,16,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
